80K NEW MAPING

Labels,Ex1 250.00nm,Ex1 255.00nm,Ex1 260.00nm,Ex1 265.00nm,Ex1 270.00nm,Ex1 275.00nm,Ex1 280.00nm,Ex1 285.00nm,Ex1 290.00nm,Ex1 295.00nm,Ex1 300.00nm,Ex1 305.00nm,Ex1 310.00nm,Ex1 315.00nm,Ex1 320.00nm,Ex1 325.00nm,Ex1 330.00nm,Ex1 335.00nm,Ex1 340.00nm,Ex1 345.00nm,Ex1 350.00nm,Ex1 355.00nm,Ex1 360.00nm,Ex1 365.00nm,Ex1 370.00nm,Ex1 375.00nm,Ex1 380.00nm,Ex1 385.00nm,Ex1 390.00nm,Ex1 395.00nm,Ex1 400.00nm,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,405.00,
Stop,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,
Step,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,
Fixed/Offset,250.00,255.00,260.00,265.00,270.00,275.00,280.00,285.00,290.00,295.00,300.00,305.00,310.00,315.00,320.00,325.00,330.00,335.00,340.00,345.00,350.00,355.00,360.00,365.00,370.00,375.00,380.00,385.00,390.00,395.00,400.00,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,
Scan Corr. by File,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Corr. by Ref. Det.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
